name,seq_type,num_of_seqs,batch_number
2Y8NB,predicted,103,05
2WKCA,predicted,3,05
2XDPA,predicted,391,05
2P22D,original,66,05
2QPZA,original,11465,05
2UUZA,original,180,05
2PG4A,predicted,198,05
2P5KA,original,9695,05
2RCFA,original,6191,05
2RCFA,predicted,2,05
2YWKA,predicted,6575,05
2XPIB,original,398,05
2VC8A,original,1779,05
2W7AA,original,4772,05
2POSA,original,606,05
2QKLB,predicted,3,05
2PG4A,original,4189,05
2YMYA,original,1654,05
2QKLB,original,2262,05
2UUZA,predicted,2,05
2POSA,predicted,110,05
2YMYA,predicted,2,05
2YWKA,original,9234,05
2Q97T,original,13,05
2P5KA,predicted,2,05
2R9IA,original,4,05
2R9IA,predicted,2,05
2VC8A,predicted,684,05
2P22D,predicted,2,05
2PMUA,predicted,5420,05
2PMUA,original,15747,05
2VLGC,original,2919,05
2XPIB,predicted,2,05
2PNTB,predicted,5964,05
2W7AA,predicted,2,05
2Y8NB,original,279,05
2WKCA,original,103,05
2VLGC,predicted,2,05
2XFVA,predicted,148,05
2PNTB,original,7993,05
2QPZA,predicted,2269,05
2XFVA,original,39,05
2QXYA,predicted,452,05
2PL1A,original,16777,05
2QV0A,original,7495,05
2WCWA,predicted,323,05
2PIEA,predicted,1995,05
2W9HA,predicted,1027,05
2Q97T,predicted,2,05
2VZBA,predicted,2,05
2Q5WE,predicted,492,05
2VXTI,original,509,05
2OZNB,predicted,231,05
2Y6XA,original,1623,05
2VMHA,original,9323,05
2XC8A,predicted,895,05
2Q9KA,predicted,26,05
2Y6XA,predicted,87,05
2PIEA,original,6614,05
2WNVD,predicted,116,05
2QQ2B,original,7550,05
2QV0A,predicted,404,05
2PPTA,original,13905,05
2Q5WE,original,11785,05
2QQ2B,predicted,260,05
2PJSA,original,7567,05
2W0GA,original,2108,05
2Q03A,original,4455,05
2R6AC,original,1297,05
2VXTI,predicted,29,05
2XC8A,original,64,05
2Q9KA,original,749,05
2Q03A,predicted,40,05
2PJSA,predicted,491,05
2QCKA,predicted,92,05
2QXYA,original,9552,05
2P12A,original,1704,05
2PJPA,predicted,26,05
2OZNB,original,5163,05
2P6HA,predicted,71,05
2VMHA,predicted,319,05
2W0GA,predicted,2,05
2RBDA,predicted,168,05
2XDPA,original,2677,05
2PL1A,predicted,4830,05
2WDQC,predicted,247,05
2WNVD,original,5211,05
2PPTA,predicted,7864,05
2PJPA,original,4645,05
2Q0YA,original,5603,05
2P6HA,original,8567,05
2P12A,predicted,74,05
2WDQC,original,7774,05
2Q0YA,predicted,935,05
2WCWA,original,1711,05
2R6AC,predicted,2,05
2W9HA,original,12981,05
2QCKA,original,7859,05
2Y7PA,original,7724,05
2RBDA,original,1600,05
2XW7A,original,9213,05
2XW7A,predicted,825,05
2XG5A,original,6125,05
2V0OA,original,2451,05
2XWPA,predicted,679,05
2Z0JA,predicted,114,05
2VZBA,original,6737,05
2OQMA,original,8671,05
2PB9A,original,2993,05
2V0OA,predicted,16,05
2VFXE,predicted,242,05
2P17A,predicted,241,05
2XSQA,predicted,591,05
2P17A,original,10569,05
2VFXE,original,2933,05
2Z0JA,original,8037,05
2QJVA,predicted,406,05
2XOLA,original,359,05
2YR1A,original,5383,05
2XPWA,original,7727,05
2XG5A,predicted,209,05
2YR1A,predicted,92,05
2OQMA,predicted,174,05
2PB9A,predicted,19,05
2WS92,original,1057,05
2RHCA,original,13534,05
2Y7PA,predicted,190,05
2XIOA,predicted,1551,05
2XSQA,original,4577,05
2WT1A,predicted,9,05
2P8JB,predicted,36,05
2R6JA,predicted,955,05
2XOLA,predicted,4,05
2RHMB,predicted,1811,05
2VECA,original,7917,05
2QJVA,original,8533,05
2VLIB,original,4833,05
2WT1A,original,3177,05
2XWPA,original,5084,05
2VLIB,predicted,193,05
2WS92,predicted,285,05
2RHMB,original,5563,05
2RHCA,predicted,1416,05
2P8JB,original,2201,05
2XPWA,predicted,1358,05
2VECA,predicted,105,05
2PPYA,original,11587,05
2PPYA,predicted,104,05
2YEXA,original,11005,05
2YEXA,predicted,147,05
2VH4A,original,9403,05
2XIOA,original,11074,05
2QJOB,predicted,67,05
2PQCA,predicted,448,05
2R6JA,original,4286,05
2XFNA,original,14013,05
2POZA,predicted,456,05
2XFNA,predicted,2099,05
2X65A,original,11567,05
2QJOB,original,8669,05
2QGYA,predicted,39,05
2X3EA,original,13927,05
2QVHA,original,14063,05
2XZ9A,predicted,3575,05
2QI9A,predicted,252,05
2X5FA,original,2281,05
2XHIA,predicted,124,05
2X5FA,predicted,150,05
2VH4A,predicted,14,05
2POKA,original,8333,05
2XOTB,original,6716,05
2Y51A,predicted,108,05
2QVHA,predicted,1559,05
2VBKA,original,4423,05
2QPXA,predicted,10,05
2PUZA,original,13810,05
2XOTB,predicted,1232,05
2POKA,predicted,77,05
2RGJA,original,11792,05
2XHIA,original,6900,05
2X3EA,predicted,1967,05
2Y51A,original,3857,05
2QGYA,original,2077,05
2VBKA,predicted,407,05
2PQCA,original,16050,05
2PGNA,original,4824,05
2XZ9A,original,18045,05
2VFOA,predicted,65,05
2QI9A,original,12419,05
2RGJA,predicted,325,05
2PUZA,predicted,214,05
2VFOA,original,513,05
2X65A,predicted,612,05
2QPXA,original,3432,05
2POZA,original,10218,05
2PGNA,predicted,430,05
2VPZA,original,12988,05
2VPZA,predicted,206,05
2WCOA,original,4597,05
2WCOA,predicted,37,05
